iter	Passed	Remaining
1195	28288	19016
1196	28313	18993
1197	28349	18978
1198	28375	18956
1199	28399	18932
1200	28422	18908
1201	28443	18883
1202	28466	18859
1203	28489	18835
1204	28512	18811
1205	28540	18790
1206	28565	18767
1207	28591	18745
1208	28616	18722
1209	28643	18701
1210	28668	18678
1211	28691	18654
1212	28714	18630
1213	28738	18606
1214	28760	18581
1215	28783	18557
1216	28804	18532
1217	28829	18509
1218	28856	18488
1219	28879	18463
1220	28904	18441
1221	28926	18416
1222	28949	18392
1223	28977	18371
1224	29002	18348
1225	29026	18324
1226	29052	18302
1227	29077	18279
1228	29100	18255
1229	29122	18231
1230	29147	18208
1231	29173	18186
1232	29201	18165
1233	29225	18141
1234	29252	18119
1235	29277	18097
1236	29300	18072
1237	29322	18048
1238	29348	18025
1239	29372	18002
1240	29398	17980
1241	29425	17958
1242	29448	17934
1243	29469	17909
1244	29492	17884
1245	29514	17860
1246	29538	17836
1247	29562	17813
1248	29584	17788
1249	29608	17765
1250	29630	17740
1251	29652	17715
1252	29678	17693
1253	29703	17670
1254	29727	17646
1255	29750	17623
1256	29777	17601
1257	29803	17579
1258	29830	17557
1259	29856	17534
1260	29882	17512
1261	29908	17489
1262	29931	17465
1263	29958	17444
1264	29984	17421
1265	30007	17397
1266	30029	17373
1267	30055	17350
1268	30079	17327
1269	30105	17304
1270	30131	17282
1271	30157	17260
1272	30183	17237
1273	30206	17213
1274	30240	17195
1275	30266	17172
1276	30289	17149
1277	30313	17125
1278	30336	17101
1279	30362	17078
1280	30388	17056
1281	30412	17033
1282	30438	17010
1283	30462	16986
1284	30483	16961
1285	30505	16937
1286	30530	16914
1287	30561	16894
1288	30585	16870
1289	30610	16847
1290	30633	16823
1291	30655	16798
1292	30677	16774
1293	30701	16750
1294	30725	16726
1295	30749	16703
1296	30772	16679
1297	30795	16655
1298	30822	16633
1299	30852	16612
1300	30880	16591
1301	30902	16566
1302	30932	16546
1303	30958	16523
1304	30981	16499
1305	31006	16476
1306	31030	16453
1307	31061	16433
1308	31087	16410
1309	31111	16387
1310	31136	16364
1311	31164	16342
1312	31187	16318
1313	31209	16293
1314	31234	16270
1315	31257	16246
1316	31282	16223
1317	31305	16199
1318	31328	16175
1319	31354	16152
1320	31377	16128
1321	31401	16104
1322	31424	16080
1323	31449	16057
1324	31471	16032
1325	31494	16008
1326	31519	15985
1327	31548	15964
1328	31572	15940
1329	31601	15919
1330	31629	15898
1331	31654	15874
1332	31680	15852
1333	31706	15829
1334	31729	15805
1335	31756	15783
1336	31783	15760
1337	31807	15737
1338	31832	15714
1339	31858	15691
1340	31886	15669
1341	31909	15645
1342	31933	15622
1343	31960	15599
1344	31987	15577
1345	32013	15555
1346	32045	15535
1347	32071	15512
1348	32102	15492
1349	32127	15468
1350	32151	15445
1351	32180	15423
1352	32216	15405
1353	32241	15382
1354	32271	15361
1355	32295	15337
1356	32322	15315
1357	32344	15290
1358	32366	15266
1359	32393	15243
1360	32417	15220
1361	32439	15195
1362	32467	15173
1363	32491	15149
1364	32513	15125
1365	32533	15099
1366	32556	15075
1367	32582	15052
1368	32607	15029
1369	32632	15006
1370	32657	14982
1371	32684	14960
1372	32707	14936
1373	32728	14911
1374	32753	14888
1375	32776	14863
1376	32801	14840
1377	32823	14815
1378	32845	14791
1379	32867	14766
1380	32889	14741
1381	32913	14718
1382	32934	14693
1383	32957	14669
1384	32979	14644
1385	33005	14621
1386	33029	14597
1387	33054	14574
1388	33076	14549
1389	33099	14525
1390	33121	14501
1391	33144	14476
1392	33169	14453
1393	33193	14429
1394	33216	14405
1395	33242	14382
1396	33265	14358
1397	33289	14335
1398	33315	14312
1399	33341	14289
1400	33367	14266
1401	33390	14242
1402	33417	14219
1403	33440	14195
1404	33467	14173
1405	33494	14150
1406	33518	14126
1407	33540	14102
1408	33562	14077
1409	33585	14053
1410	33608	14029
1411	33633	14006
1412	33661	13984
1413	33684	13959
1414	33708	13936
1415	33731	13911
1416	33755	13888
1417	33781	13865
1418	33803	13840
1419	33825	13816
1420	33851	13793
1421	33875	13769
1422	33902	13746
1423	33924	13722
1424	33952	13700
1425	33977	13676
1426	34002	13653
1427	34025	13629
1428	34051	13606
1429	34078	13583
1430	34102	13559
1431	34124	13535
1432	34149	13512
1433	34172	13487
1434	34196	13464
1435	34220	13440
1436	34245	13416
1437	34267	13392
1438	34290	13368
1439	34316	13345
1440	34338	13320
1441	34366	13298
1442	34390	13274
1443	34415	13251
1444	34441	13228
1445	34466	13205
1446	34488	13180
1447	34515	13157
1448	34542	13135
1449	34567	13111
1450	34595	13089
1451	34617	13065
1452	34654	13045
1453	34676	13021
1454	34699	12997
1455	34723	12973
1456	34745	12949
1457	34771	12925
1458	34796	12902
1459	34823	12879
1460	34848	12856
1461	34873	12833
1462	34897	12809
1463	34921	12785
1464	34943	12760
1465	34965	12736
1466	34994	12714
1467	35015	12689
1468	35041	12666
1469	35067	12643
1470	35092	12620
1471	35114	12595
1472	35144	12573
1473	35170	12550
1474	35194	12526
1475	35219	12503
1476	35243	12479
1477	35269	12456
1478	35291	12431
1479	35315	12408
1480	35340	12384
1481	35363	12360
1482	35386	12336
1483	35410	12312
1484	35432	12287
1485	35455	12263
1486	35482	12241
1487	35505	12216
1488	35526	12191
1489	35550	12168
1490	35576	12145
1491	35598	12120
1492	35620	12096
1493	35644	12072
1494	35669	12048
1495	35696	12026
1496	35719	12001
1497	35743	11978
1498	35767	11954
1499	35799	11933
1500	35824	11909
1501	35851	11886
1502	35874	11862
1503	35900	11839
1504	35923	11815
1505	35950	11792
1506	35990	11773
1507	36017	11751
1508	36039	11726
1509	36064	11703
1510	36091	11680
1511	36117	11656
1512	36139	11632
1513	36161	11607
1514	36186	11584
1515	36212	11561
1516	36237	11537
1517	36262	11514
1518	36286	11490
1519	36311	11466
1520	36343	11445
1521	36365	11421
1522	36383	11395
1523	36407	11371
1524	36432	11347
1525	36462	11325
1526	36488	11302
1527	36516	11280
1528	36542	11256
1529	36571	11234
1530	36598	11211
1531	36622	11187
1532	36651	11165
1533	36673	11140
1534	36695	11116
1535	36721	11092
1536	36744	11068
1537	36766	11044
1538	36789	11020
1539	36814	10996
1540	36840	10973
1541	36866	10950
1542	36891	10926
1543	36918	10903
1544	36950	10881
1545	36977	10858
1546	37000	10834
1547	37024	10810
1548	37049	10787
1549	37071	10762
1550	37095	10738
1551	37126	10716
1552	37153	10693
1553	37179	10670
1554	37205	10647
1555	37232	10624
1556	37262	10602
1557	37295	10580
1558	37321	10557
1559	37350	10534
1560	37373	10510
1561	37399	10487
1562	37424	10463
1563	37451	10440
1564	37476	10416
1565	37499	10392
1566	37524	10368
1567	37551	10345
1568	37578	10322
1569	37603	10298
1570	37625	10274
1571	37651	10251
1572	37676	10227
1573	37698	10203
1574	37726	10180
1575	37750	10156
1576	37773	10132
1577	37798	10108
1578	37823	10084
1579	37845	10060
1580	37869	10036
1581	37890	10011
1582	37917	9988
1583	37938	9963
1584	37961	9939
1585	37983	9915
1586	38009	9891
1587	38036	9868
1588	38060	9844
1589	38085	9820
1590	38109	9796
1591	38134	9773
1592	38162	9750
1593	38186	9726
1594	38210	9702
1595	38232	9677
1596	38260	9655
1597	38283	9630
1598	38309	9607
1599	38333	9583
1600	38356	9559
1601	38379	9534
1602	38408	9512
1603	38431	9488
1604	38455	9464
1605	38481	9440
1606	38510	9417
1607	38536	9394
1608	38559	9370
1609	38588	9347
1610	38613	9323
1611	38638	9300
1612	38664	9276
1613	38686	9252
1614	38712	9228
1615	38734	9204
1616	38760	9180
1617	38785	9157
1618	38810	9133
1619	38839	9110
1620	38863	9086
1621	38887	9062
1622	38917	9039
1623	38942	9016
1624	38967	8992
1625	38992	8968
1626	39018	8945
1627	39046	8922
1628	39070	8898
1629	39095	8874
1630	39121	8850
1631	39145	8826
1632	39169	8802
1633	39194	8779
1634	39217	8754
1635	39243	8731
1636	39267	8707
1637	39292	8683
1638	39316	8659
1639	39345	8636
1640	39367	8612
1641	39397	8589
1642	39420	8565
1643	39447	8542
1644	39468	8517
1645	39493	8493
1646	39518	8470
1647	39546	8446
1648	39579	8424
1649	39604	8400
1650	39630	8377
1651	39655	8353
1652	39682	8330
1653	39703	8305
1654	39729	8282
1655	39757	8258
1656	39784	8235
1657	39807	8211
1658	39830	8186
1659	39854	8163
1660	39882	8139
1661	39903	8115
1662	39926	8091
1663	39949	8066
1664	39973	8042
1665	39997	8018
